id,location_id,terminal_id,vehicle_type_id,price
342,342,1,1,525
343,343,1,1,520
344,344,4,1,300
345,345,2,1,460
346,346,2,1,575
347,347,2,1,800
348,348,3,1,600
349,349,2,1,1300
350,350,2,1,875
351,351,2,1,500
352,352,4,1,750
353,353,4,1,900
354,354,1,1,650
355,355,2,1,650
356,356,2,1,625
357,357,4,1,600
358,358,4,1,600
359,359,2,1,625
360,360,2,1,600
361,361,2,1,625
362,362,4,1,550
363,363,1,1,675
364,364,3,1,775
365,365,4,1,650
366,366,3,1,1100
367,367,3,1,775
368,368,4,1,625
369,369,2,1,575
